PARKID,NAME,CITY,STATE,START,END,LEAGUE,NOTES,AKA,Exact,Latitude,Longitude,Altitude
ALB01,Riverside Park,Albany,NY,18800911,18820530,NL,TRN:9/11/80;6/15&9/10/1881;5/16-5/18&5/30/1882,Greenbush Grounds,Y,42.643132,-73.750997,14
ALT01,Columbia Park,Altoona,PA,18840430,18840531,UA,,4th Ave Grounds; Waverly Field,Y,40.494582,-78.411164,1129
ANA01,Angel Stadium of Anaheim,Anaheim,CA,19660419,,AL,,Anaheim Stadium; Edison Field,Y,33.80029,-117.882685,154
ARL01,Arlington Stadium,Arlington,TX,19720421,19931003,AL,,,Y,32.755974,-97.084778,552
ARL02,Globe Life Park,Arlington,TX,19940411,,AL,,Rangers Ballpark in Arlington; The Ballpark in Arlington; Ameriquest Field,Y,32.751164,-97.082546,549
ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,19660412,19960923,NL,,Atlanta Stadium,Y,33.739457,-84.389486,979
ATL02,Turner Field,Atlanta,GA,19970404,20161002,NL,,,Y,33.735487,-84.389464,939
ATL03,SunTrust Park,Atlanta,GA,20170414,,NL,,,Y,33.89127,-84.4681,981
BAL01,Madison Avenue Grounds,Baltimore,MD,18710708,18710708,NA,WS3,Pastime Base Ball Grounds,Y,39.309376,-76.632022,167
BAL02,Newington Park,Baltimore,MD,18720422,18820930,,BL1:1872-74; BL4:1873; BL2: 1882,,Y,39.307192,-76.640809,195
BAL03,Oriole Park I,Baltimore,MD,18830501,18881013,AA,,Union Park; Huntingdon Avenue Grounds ; American Association Park,Y,39.317701,-76.610897,164
BAL04,Belair Lot,Baltimore,MD,18840417,18840924,UA,BLU:not 8/25,Union Park,Y,39.294656,-76.604953,25
BAL05,Monumental Park,Baltimore,MD,18840825,18840825,UA,BLU,,N,39.29044,-76.612154,32
BAL06,Oriole Park II,Baltimore,MD,18890418,18910509,AA,,,Y,39.322914,-76.610017,194
BAL07,Oriole Park III,Baltimore,MD,18910511,18991010,,BL3:1891; BLN:1892-99,Union Park; Baltimore Baseball and Exhibition Grounds,Y,39.317361,-76.612034,153
BAL09,Oriole Park IV,Baltimore,MD,19010426,19020929,AL,,American League Park,Y,39.323868,-76.609953,202
BAL10,Terrapin Park,Baltimore,MD,19140413,19151002,FL,,Federal League Park; Oriole Park,Y,39.324001,-76.60991,203
BAL11,Memorial Stadium,Baltimore,MD,19540415,19911006,AL,,,Y,39.330001,-76.601488,231
BAL12,Oriole Park at Camden Yards,Baltimore,MD,19920406,,AL,,Camden Yards,Y,39.283944,-76.621572,35
BOS01,South End Grounds I,Boston,MA,18710516,18870910,,BS1:1871-75; HR1: 8/12/1874; BSN:1876-1887,Walpole Street Grounds,Y,42.336836,-71.087769,11
BOS02,Dartmouth Grounds,Boston,MA,18840430,18840924,UA,BSU,Union Park,Y,42.316513,-71.100641,66
BOS03,South End Grounds II,Boston,MA,18880525,18940514,NL,,Grand Pavilion; Walpole Street Grounds; Union Baseball Grounds; Boston Baseball Grounds,Y,42.336836,-71.087769,11
BOS04,Congress Street Grounds,Boston,MA,18900419,18940620,,BSP:1890; BS2:1891; BSN:5/16 to 6/20/1894,Brotherhood Grounds,Y,42.350129,-71.047297,9
BOS05,South End Grounds III,Boston,MA,18940720,19140811,NL,,South Side Grounds,Y,42.336859,-71.087692,11
BOS06,Huntington Avenue Baseball Grounds,Boston,MA,19010508,19111007,AL,,,Y,42.339199,-71.08913,8
BOS07,Fenway Park,Boston,MA,19120420,,AL,BOS:1912-date; BSN:9/7 to 9/29/1914; 4/14 to 7/26/15,,Y,42.346561,-71.097337,16
BOS08,Braves Field,Boston,MA,19150818,19520921,,,Bee Hive; National League Field,Y,42.353233,-71.119465,26
