,date,year,month,day,daynight,visitor,home,visitor_league,home_league,park_id,lat,lon,altitude,visitor_errors,home_errors,visitor_hr,home_hr,visitor_bip,home_bip,visitor_ebip,home_ebip,visitor_hits,home_hits,visitor_2b,home_2b,visitor_3b,home_3b,visitor_ks,home_ks,visitor_walks,home_walks,visitor_wildp,home_wildp,visitor_score,home_score,visitor_ab,home_ab
0,20100404,2010,4,4,1,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,1,0,2,1,33,29,0.034482758620689655,0.0,12,12,2,3,0,1,2,5,6,4,1,1,7,9,37,34
1,20100405,2010,4,5,1,MIN,ANA,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,0,1,3,24,25,0.0,0.0,7,9,1,0,0,0,8,5,3,3,1,0,3,6,32,33
2,20100405,2010,4,5,0,CLE,CHA,AL,AL,CHI12,41.829892,-87.633703,594.0,0,0,0,2,23,22,0.0,0.0,4,6,0,2,0,0,7,4,1,5,4,0,0,6,30,28
3,20100405,2010,4,5,0,DET,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,1,1,0,1,30,26,0.038461538461538464,0.03333333333333333,12,9,4,0,0,0,9,8,2,2,0,0,8,4,39,35
4,20100405,2010,4,5,1,SEA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,1,4,1,0,23,22,0.045454545454545456,0.17391304347826086,6,5,2,0,0,0,8,6,8,7,1,1,5,3,31,28
5,20100405,2010,4,5,0,TOR,TEX,AL,AL,ARL02,32.751164,-97.082546,549.0,1,1,2,1,26,23,0.043478260869565216,0.038461538461538464,8,6,1,2,0,0,7,7,2,2,0,0,4,5,35,31
6,20100405,2010,4,5,0,SDN,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,2,0,2,2,24,23,0.08695652173913043,0.0,5,8,2,0,0,0,6,8,0,3,0,0,3,6,32,33
7,20100405,2010,4,5,0,CHN,ATL,NL,NL,ATL02,33.735487,-84.389464,939.0,2,0,2,2,21,25,0.08,0.0,5,12,1,1,0,1,7,8,3,8,0,0,5,16,30,35
8,20100405,2010,4,5,0,SLN,CIN,NL,NL,CIN09,39.097213,-84.506483,489.0,2,1,4,2,29,30,0.06666666666666667,0.034482758620689655,12,11,0,1,0,0,5,7,4,2,0,0,11,6,38,39
9,20100405,2010,4,5,1,SFN,HOU,NL,NL,HOU03,29.757040999999997,-95.355429,20.0,0,0,1,0,26,27,0.0,0.0,10,9,1,2,0,0,6,9,2,0,0,0,5,2,32,36
10,20100405,2010,4,5,0,COL,MIL,NL,NL,MIL06,43.028232,-87.970966,602.0,2,2,1,1,30,30,0.06666666666666667,0.06666666666666667,10,12,3,2,0,0,5,7,3,2,1,1,5,3,35,37
11,20100405,2010,4,5,0,FLO,NYN,NL,NL,NYC20,40.757134,-73.84584,13.0,3,1,0,1,25,27,0.1111111111111111,0.04,6,9,2,3,0,1,7,5,2,4,1,0,1,7,32,32
12,20100405,2010,4,5,0,LAN,PIT,NL,NL,PIT08,40.446835,-80.00568299999999,724.0,2,0,0,3,32,28,0.07142857142857142,0.0,12,10,4,4,0,0,5,3,2,4,1,0,5,11,37,34
13,20100405,2010,4,5,0,PHI,WAS,NL,NL,WAS11,38.872987,-77.007435,23.0,1,1,2,0,34,23,0.043478260869565216,0.029411764705882353,13,9,0,4,1,0,4,11,9,3,0,0,11,1,39,34
14,20100406,2010,4,6,1,MIN,ANA,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,3,1,24,26,0.0,0.041666666666666664,9,8,1,1,0,0,6,6,5,4,0,1,5,3,32,33
15,20100406,2010,4,6,1,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,3,1,1,1,28,27,0.1111111111111111,0.03571428571428571,9,9,4,3,0,0,7,8,5,1,0,0,6,4,35,35
16,20100406,2010,4,6,1,SEA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,0,0,1,24,30,0.0,0.0,5,10,1,1,0,0,10,7,2,4,0,1,1,2,34,38
17,20100406,2010,4,6,1,BAL,TBA,AL,AL,STP01,27.768254,-82.65343100000001,41.0,0,0,3,1,27,26,0.0,0.0,11,13,4,4,0,0,7,9,3,2,0,0,3,4,37,36
18,20100406,2010,4,6,1,SDN,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,1,0,2,0,25,26,0.038461538461538464,0.0,10,7,1,1,1,0,10,8,4,5,0,1,6,3,37,34
19,20100406,2010,4,6,1,SFN,HOU,NL,NL,HOU03,29.757040999999997,-95.355429,20.0,0,1,0,0,26,24,0.0,0.038461538461538464,8,4,0,2,0,0,6,7,4,2,0,0,3,0,31,31
20,20100406,2010,4,6,1,COL,MIL,NL,NL,MIL06,43.028232,-87.970966,602.0,1,0,1,2,25,22,0.045454545454545456,0.0,11,7,3,1,1,0,11,6,0,6,0,0,5,7,37,30
21,20100407,2010,4,7,1,MIN,ANA,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,0,2,0,26,29,0.0,0.0,7,9,0,2,1,0,7,6,1,0,0,1,4,2,34,35
22,20100407,2010,4,7,1,NYA,BOS,AL,AL,BOS07,42.346561,-71.097337,16.0,0,0,1,0,26,30,0.0,0.0,6,7,1,2,0,0,7,5,5,3,0,0,3,1,34,35
23,20100407,2010,4,7,1,CLE,CHA,AL,AL,CHI12,41.829892,-87.633703,594.0,0,0,0,1,28,24,0.0,0.0,10,2,2,0,0,0,8,2,6,7,0,0,5,3,36,26
24,20100407,2010,4,7,1,DET,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,1,0,1,1,33,29,0.034482758620689655,0.0,11,7,0,1,1,0,6,3,2,5,0,1,2,3,40,33
25,20100407,2010,4,7,1,SEA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,2,0,1,1,27,36,0.05555555555555555,0.0,8,14,0,4,0,0,6,2,4,1,0,2,5,6,33,37
26,20100407,2010,4,7,1,BAL,TBA,AL,AL,STP01,27.768254,-82.65343100000001,41.0,0,1,0,1,25,23,0.0,0.04,6,10,1,2,0,0,9,8,2,2,0,0,3,4,34,32
27,20100407,2010,4,7,1,TOR,TEX,AL,AL,ARL02,32.751164,-97.082546,549.0,3,1,3,2,20,22,0.13636363636363635,0.05,5,5,2,1,0,0,10,9,10,3,0,0,7,4,32,33
28,20100407,2010,4,7,1,SDN,ARI,NL,NL,PHO01,33.44542,-112.06679299999999,1059.0,0,1,1,4,23,19,0.0,0.043478260869565216,7,9,2,1,0,0,10,8,1,1,0,0,3,5,34,31
29,20100407,2010,4,7,1,CHN,ATL,NL,NL,ATL02,33.735487,-84.389464,939.0,0,1,0,1,25,16,0.0,0.04,7,5,1,2,0,0,7,12,3,2,0,0,2,3,31,29
30,20100407,2010,4,7,1,SLN,CIN,NL,NL,CIN09,39.097213,-84.506483,489.0,0,0,0,1,28,21,0.0,0.0,10,6,2,2,0,0,8,9,5,2,0,0,6,3,36,31
31,20100407,2010,4,7,0,SFN,HOU,NL,NL,HOU03,29.757040999999997,-95.355429,20.0,1,1,2,0,38,29,0.034482758620689655,0.02631578947368421,19,7,3,2,1,1,3,6,4,0,0,1,10,4,43,35
32,20100407,2010,4,7,0,COL,MIL,NL,NL,MIL06,43.028232,-87.970966,602.0,1,0,1,0,22,22,0.045454545454545456,0.0,8,8,2,4,0,0,9,10,5,1,0,4,4,5,32,31
33,20100407,2010,4,7,1,FLO,NYN,NL,NL,NYC20,40.757134,-73.84584,13.0,1,0,3,0,35,29,0.034482758620689655,0.0,17,6,2,1,0,1,7,6,3,9,0,1,7,6,45,33
34,20100407,2010,4,7,1,LAN,PIT,NL,NL,PIT08,40.446835,-80.00568299999999,724.0,1,1,1,1,30,27,0.037037037037037035,0.03333333333333333,5,9,2,0,0,0,3,7,9,9,0,1,3,4,34,35
35,20100407,2010,4,7,1,PHI,WAS,NL,NL,WAS11,38.872987,-77.007435,23.0,1,1,1,1,29,27,0.037037037037037035,0.034482758620689655,11,10,3,2,0,1,6,9,8,5,0,1,8,4,35,36
36,20100408,2010,4,8,1,MIN,ANA,AL,AL,ANA01,33.800290000000004,-117.88268500000001,154.0,0,1,3,0,29,26,0.0,0.034482758620689655,11,8,3,1,0,0,5,9,6,2,0,0,10,1,37,34
37,20100408,2010,4,8,1,CLE,CHA,AL,AL,CHI12,41.829892,-87.633703,594.0,0,2,0,1,25,24,0.0,0.08,11,6,4,0,0,0,16,12,4,7,1,1,5,3,41,37
38,20100408,2010,4,8,0,DET,KCA,AL,AL,KAN06,39.051604,-94.480149,886.0,0,1,2,0,30,30,0.0,0.03333333333333333,12,11,4,1,0,0,6,5,4,3,1,2,7,3,38,34
39,20100408,2010,4,8,0,SEA,OAK,AL,AL,OAK01,37.751619,-122.200451,0.0,0,1,0,0,24,29,0.0,0.041666666666666664,7,11,1,4,0,0,8,6,3,5,3,0,2,6,32,35
40,20100408,2010,4,8,1,BAL,TBA,AL,AL,STP01,27.768254,-82.65343100000001,41.0,0,0,1,0,29,21,0.0,0.0,9,6,3,0,0,1,6,10,3,8,0,2,5,4,36,30
