park,1.5 degrees,2 degrees,3 degrees,4 degrees
Wrigley Field,5.793617953408078,7.732246824149609,13.181238405851003,16.794386763385244
Comerica Park,4.9733914797936185,6.797122589910468,11.554634186041309,14.71982646502
Target Field,4.5899772319244505,6.741435982950035,11.58455806687326,14.677833595053858
Coors Field,5.750436852397753,7.723724733656993,11.564648132663558,14.525196526213701
Guaranteed Rate Field,4.9161956861177165,6.53427873209232,11.256934379206895,14.232077696343925
Great American Ballpark,5.065691120252955,6.593295334337167,11.097594774872823,14.098160927580386
Kauffman Stadium,5.146890865992655,6.9323450615130096,10.405152022100477,13.780700234150428
Camden Yards,4.8459287832510825,6.438012687514206,10.766472519397666,13.769400939795739
Nationals Park,4.483225609393106,6.15597726439649,10.587146128072254,13.736813108592461
Busch Stadium,4.904772646516877,6.617165320234525,10.801241476752457,13.642584960979562
PNC Park,4.644679210360295,6.279998072319938,10.64479823900686,13.454665951293048
Progressive Field,4.661485953085524,6.21808377059987,10.6705541278349,13.445684518721686
Yankee Stadium,4.498438319691706,6.186005030379547,10.374479696891163,13.409943035371136
Citizens Bank Park,4.476505942043305,6.0777859634000135,10.120306844368502,12.909368431088607
Citi Field,4.254183959355593,5.816711218525052,9.944282314176887,12.731757210020945
Fenway Park,4.6017169123777375,6.047210210134327,9.714012794486587,12.226252305707874
T-Mobile Park,3.6908672554424764,5.3726571872626785,7.950176423501589,11.300650945142976
Truist Park,3.3105249948441733,4.4019675260799564,7.425085649784,10.4817298835132
RingCentral Coliseum,3.7709336051834317,5.1455066182562135,7.879591731409446,10.177569608660514
Oracle Park,3.6815623611506396,5.021882754654853,7.732763029590318,10.033600004879384
Angel Stadium,3.5348061584684554,4.784863879665855,7.181216025142678,9.218502476022328
Dodger Stadium,3.4518016262138884,4.7397640838287245,7.0974091680456795,9.096240578147242
Rogers Centre,3.125879192805111,4.029957203170549,6.663377182733089,8.70720297733824
Petco Park,3.2851693107103963,4.47176811821767,6.575327236485287,8.64839991850816
American Family Field,2.9876185014788414,3.9238649063495803,6.606444593927086,8.342719093250206
Globe Life Field,3.472407845718684,3.6430596552803496,5.219309024104956,6.7354292170427295
Chase Field,2.5563270961995688,3.2926402084000133,4.919850565015441,6.119820056676518
Minute Maid Park,1.1307012382480757,1.333456254515497,2.1207867743470925,2.815817677898786
LoanDepot Park,0.6164773575855687,0.8283831944957278,1.3342154474775816,1.8613607789904503
Tropicana Field,0.32475741702853395,0.4042122898193841,0.6100681420477124,0.7962303227401444
